# Program:featureCounts v1.5.2; Command:"/data/biohub/local/subread-1.5.2-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "2" "-T" "16" "-p" "-a" "/data/biohub/Refs/zebrafish/Danio_rerio.GRCz10.88.gtf" "-o" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/featureCounts/rRNA_genes.out" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/10_Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/2_Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/7_Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/1_Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/8_Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/3_Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/4_Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/6_Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem_hisat2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_hisat2_sorted.bam
ENSDARG00000038384	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	17391602;17391602;17391602;17393804;17393804;17393804;17394226;17394226;17394226;17394324;17394752;17394753;17394753;17395422;17395422;17395422;17395571;17395571;17395571;17396910;17396910;17396910;17397159;17397159;17397159;17399105;17399105;17399105;17399296;17399296;17399296;17399472;17399472;17399472;17401817;17401817;17401817	17391918;17391918;17391918;17393937;17393937;17393937;17394318;17394321;17394321;17394325;17394806;17394809;17394806;17395491;17395491;17395491;17395706;17395706;17395706;17397052;17397052;17397052;17397209;17397209;17397209;17399172;17399172;17399172;17399384;17399384;17399384;17399649;17399649;17399649;17402115;17402115;17402115	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1641	33	47	55	51
ENSDARG00000020143	4;4;4;4;4;4;4;4;4;4;4;4;4	17402704;17404208;17404409;17405947;17406149;17406814;17406995;17408428;17411330;17411790;17414405;17418905;17420312	17403507;17404323;17404542;17406042;17406205;17406883;17407130;17408624;17411397;17411878;17414588;17419021;17420557	-;-;-;-;-;-;-;-;-;-;-;-;-	2314	2	4	2	6
ENSDARG00000038386	4;4	17428135;17428986	17428879;17430217	+;+	1977	63	56	70	68
ENSDARG00000007175	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	17436143;17535354;17535354;17535354;17535505;17535956;17535956;17535956;17535956;17536744;17536744;17536744;17536744;17537743;17537743;17537743;17537743;17538006;17538006;17538006;17538006;17538576;17538576;17538576;17538576;17538847;17538847;17538847;17538847;17539612;17539612;17539612;17539612;17541511;17541511;17541511;17541511;17541740;17541740;17541740;17541740;17543370;17543370;17543370;17543370;17543532;17544141;17544141;17544141;17544145;17544642;17544642;17544642;17544642;17545189;17545192;17545192;17545192;17547153;17547153;17547153;17547153;17548588;17548588;17548588	17436412;17535633;17535633;17535633;17535633;17536006;17536006;17536006;17536006;17536962;17536962;17536962;17536962;17537922;17537922;17537922;17537922;17538112;17538112;17538112;17538112;17538774;17538774;17538774;17538774;17539013;17539013;17539013;17539013;17539687;17539687;17539687;17539687;17541659;17541659;17541659;17541659;17541857;17541857;17541857;17541857;17543508;17543500;17543512;17543508;17543539;17544232;17544232;17544232;17544232;17544858;17544858;17544858;17544858;17545321;17545321;17545321;17545321;17547289;17547289;17547289;17547464;17548642;17548642;17549294	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3428	182	255	219	215
ENSDARG00000002174	4;4;4;4;4;4;4;4;4;4;4;4	17550158;17550561;17550746;17551518;17552647;17552969;17553214;17554858;17555314;17556000;17559606;17564877	17550360;17550656;17550787;17551692;17552786;17553117;17553308;17554911;17555405;17556117;17559779;17565020	+;+;+;+;+;+;+;+;+;+;+;+	1482	96	102	79	90
ENSDARG00000079985	4;4;4;4;4;4	17583519;17588280;17591369;17592268;17607199;17639973	17586089;17588332;17591499;17592350;17607549;17640468	-;-;-;-;-;-	3685	3220	3290	1584	2434
ENSDARG00000006011	4;4;4	17645335;17649738;17652085	17647681;17649931;17653192	-;-;-	3649	50	117	87	79
ENSDARG00000002128	4;4;4;4;4;4;4;4;4;4;4;4;4;4	17653755;17654046;17654216;17654399;17655581;17655881;17656081;17656391;17656900;17657764;17659381;17662184;17664020;17664197	17653886;17654130;17654300;17654500;17655795;17655996;17656165;17656540;17657020;17657843;17659590;17662303;17664117;17664590	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1993	177	200	166	164
ENSDARG00000045563	4;4;4;4;4;4;4	17666896;17667224;17668165;17668523;17669080;17671329;17671487	17667077;17667322;17668230;17668633;17669196;17671393;17673102	+;+;+;+;+;+;+	2256	116	209	168	156
ENSDARG00000045561	4;4;4;4;4;4;4	17673437;17675495;17675679;17675893;17677282;17678731;17680643	17673648;17675587;17675737;17676070;17677424;17678798;17680905	-;-;-;-;-;-;-	1016	4	6	19	6
ENSDARG00000030153	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	17682638;17682655;17682820;17684795;17684795;17684795;17685658;17685658;17685658;17686574;17686574;17686574;17686851;17686851;17686851;17688064;17688064;17688064;17690788;17690788;17690788;17695509;17695509;17695509;17695936;17696085;17696085;17696085;17696917;17696917;17696917;17697259;17697259;17697259;17697484;17697484;17697493;17699713;17699713;17699713;17702248;17702248;17703194;17704214;17704214;17704214;17705381;17705381;17705381;17706058;17706058;17706216;17706216;17707263;17707263;17712867;17712867;17715088;17715088	17682951;17682951;17682951;17684880;17684880;17684880;17685777;17685777;17685777;17686624;17686624;17686624;17687047;17687047;17687047;17688128;17688128;17688128;17690922;17690922;17690922;17695670;17695670;17695670;17695999;17696264;17696264;17696264;17697087;17697087;17697087;17697376;17697382;17697382;17697690;17697690;17697690;17700701;17700349;17700701;17702447;17702447;17703474;17704433;17704433;17704433;17705428;17705494;17705494;17706143;17706143;17706314;17706314;17707430;17707430;17712957;17712957;17716132;17716132	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5169	563	592	443	523
ENSDARG00000014572	4;4;4;4;4;4;4;4	17718032;17723405;17723641;17725934;17727088;17727270;17728276;17735639	17719408;17723530;17723799;17726065;17727172;17727411;17728423;17736032	-;-;-;-;-;-;-;-	2563	136	144	219	182
ENSDARG00000045560	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	17737865;17737865;17737865;17737865;17738410;17743049;17745867;17745867;17745867;17745867;17745867;17749094;17749094;17749094;17749094;17749094;17749289;17751700;17751700;17751700;17751700;17751700;17751700;17752443;17752443;17752443;17752443;17752443;17753429;17753429;17753429;17753429;17753708;17753708;17753708;17753708;17754997;17754997;17754997;17754997;17755262;17755262;17755262;17755262;17758051;17758051;17758051;17758051;17758366;17758366;17758366;17758366;17758552;17758552;17758552;17758552;17760504;17760504;17760504;17760504;17760727;17760727;17760727;17760727;17761696;17761696;17761696;17761696;17762219;17762219;17762219;17762219;17764377;17764377;17764377;17764377;17764574;17764574;17764574;17764574;17768184;17770734;17770734;17770734;17770734;17771770;17771770;17771770;17771770;17774306;17774306;17776773;17776773;17776773;17776773;17778002;17778002;17778002;17778002;17778243;17778243;17778243;17778243;17778447;17778447;17778447;17778447;17778942;17778942;17778942;17778942;17779891;17779891;17779891;17779891;17781882;17781882;17781882;17781882;17792132;17792132;17792132;17792132;17804037;17804037;17804037;17804037	17738500;17738500;17738500;17738500;17738500;17743092;17746053;17746053;17746053;17746053;17746053;17749230;17749230;17749230;17749230;17749230;17749347;17751809;17751859;17751859;17751859;17751859;17751859;17752537;17752582;17752582;17752582;17752537;17753621;17753621;17753621;17753621;17753796;17753796;17753796;17753796;17755164;17755164;17755164;17755164;17755396;17755396;17755396;17755396;17758239;17758239;17758239;17758239;17758470;17758470;17758470;17758470;17758711;17758711;17758711;17758711;17760640;17760640;17760640;17760640;17760833;17760833;17760833;17760833;17761861;17761861;17761861;17761861;17762385;17762385;17762385;17762385;17764482;17764482;17764482;17764482;17764710;17764698;17764707;17764698;17768192;17770866;17770866;17770866;17770866;17771933;17771933;17771942;17771933;17774314;17774314;17776829;17776829;17776829;17776829;17778053;17778053;17778053;17778053;17778360;17778360;17778360;17778360;17778595;17778595;17778595;17778595;17779052;17779052;17779052;17779052;17779932;17779932;17779932;17779932;17781923;17781923;17781923;17781923;17792149;17792149;17792149;17792149;17804176;17804176;17804176;17804176	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4275	22	22	16	17
ENSDARG00000094593	4;4	17747467;17748798	17748034;17748836	-;-	607	0	0	0	0
ENSDARG00000097601	4;4;4	17804037;17815954;17832844	17804091;17816043;17834806	+;+;+	2108	3	3	4	2
ENSDARG00000087438	4;4;4;4	17812352;17813370;17814704;17815944	17813129;17813511;17814807;17816152	-;-;-;-	1233	0	0	0	0
ENSDARG00000012435	4;4;4;4;4	17818861;17821407;17821600;17822703;17823021	17819513;17821503;17821721;17822790;17823155	-;-;-;-;-	1095	1	0	1	0
ENSDARG00000016886	4;4;4	17832414;17833254;17834395	17833173;17833472;17834448	-;-;-	1033	51	77	48	75
ENSDARG00000076690	4;4	17847122;17848342	17847186;17849203	-;-	927	5	2	2	12
ENSDARG00000021239	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	17854738;17854741;17855037;17855037;17856416;17856416;17856416;17856416;17856999;17856999;17856999;17856999;17857273;17857273;17857273;17857273;17858036;17858036;17858036;17858036;17858917;17858917;17858917;17858917;17859348;17859348;17859348;17859348;17859826;17859826;17859826;17859826;17860142;17860142;17860142;17860142;17860382;17860382;17860382;17860590;17860590;17860590;17861164;17861164;17861164;17862127;17862127;17862127;17862343;17862343;17862343;17862626;17862626;17862626;17863483;17863823;17863823;17863823;17863823;17864706;17864706;17864706;17864706;17865319;17865319;17865319;17865319;17866113;17866113;17866113;17866343;17866343;17866343;17866924;17866924;17866924;17867805;17868611;17868611;17868611;17869687;17869687;17869687;17870787;17870787;17870787;17871562;17871562;17871562;17872990;17872990;17872990;17884352;17884352;17884352;17884572;17884670;18074716	17854894;17854894;17855138;17855138;17856636;17856636;17856636;17856636;17857188;17857188;17857188;17857188;17857470;17857470;17857470;17857470;17858225;17858225;17858225;17858225;17859029;17859029;17859029;17859029;17859479;17859479;17859479;17859479;17860064;17860064;17860064;17860064;17860309;17860309;17860270;17860309;17860513;17860513;17860513;17860703;17860703;17860703;17861348;17861348;17861348;17862253;17862253;17862253;17862468;17862468;17862468;17862766;17862766;17862766;17863729;17863948;17863948;17863948;17863948;17864858;17864858;17864858;17864858;17865439;17865447;17865447;17865447;17866238;17866238;17866238;17866462;17866462;17866462;17867049;17867049;17867049;17867921;17868736;17868736;17868736;17869815;17869815;17869815;17870912;17870912;17870912;17871687;17871687;17871687;17873136;17873136;17873136;17884641;17885072;17884708;17884625;17885057;18074738	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5077	141	184	118	199
ENSDARG00000003512	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	17895551;17897862;17899183;17900344;17900344;17900344;17913035;17913035;17913035;17915256;17915256;17915256;17917334;17917334;17917334;17922550;17922550;17922550;17925989;17925989;17925989;17926823;17926823;17926823;17926956;17930044;17930044;17930044;17930044;17960051;17980888;17980888;17980888;17988695;17988695;17988695;18002637;18002637;18002637;18007602;18007602;18007602;18010042;18010042;18010042;18010541;18046468;18046468;18046468;18046468;18046521;18049406;18078237;18078237;18078237;18078237;18096426;18096426;18096426;18096426;18099917;18109030;18109030;18109030;18113748;18113748;18113748;18118331;18118331;18118331;18119607;18119607;18119607;18121757;18121757;18121757;18130491;18130491;18130491;18145195;18145195;18145195;18146494;18146494;18146494;18212305;18212305;18212305	17895760;17899231;17899231;17900435;17900435;17900435;17913202;17913202;17913202;17915393;17915393;17915393;17917420;17917417;17917420;17922621;17922621;17922621;17926114;17926114;17926114;17927008;17927008;17927008;17927008;17930151;17930151;17930151;17930151;17960342;17981040;17981040;17981040;17988793;17988793;17988793;18002743;18002743;18002743;18007674;18007674;18007674;18010688;18010688;18010688;18010697;18046654;18046654;18046654;18046654;18046654;18049571;18078373;18078373;18078373;18078373;18096576;18096576;18096576;18096576;18100030;18109146;18109146;18109146;18113929;18113929;18113929;18118453;18118453;18118453;18119708;18119708;18119708;18121832;18121832;18121832;18130787;18130787;18130787;18145351;18145351;18145351;18146574;18146574;18146574;18212435;18212646;18212788	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6311	3552	3483	2900	3293
ENSDARG00000004055	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18218860;18220062;18224216;18224216;18226184;18226184;18227176;18227176;18246038;18246038;18246331;18246331;18248318;18248318;18248796;18251212;18251293;18253592;18253592;18253884;18253884;18255623;18255623;18259631;18259631;18259863;18259863;18260031;18260031;18260408;18260408;18261945;18261945;18262169;18262169;18265008;18265008;18265532;18265532;18272867;18272867;18291884;18291884	18220488;18220488;18224364;18224364;18226295;18226295;18227432;18227432;18246188;18246188;18246482;18246482;18248466;18248466;18248876;18252653;18252653;18253785;18253785;18254025;18254025;18255732;18255732;18259777;18259777;18259946;18259946;18260211;18260211;18260578;18260578;18262085;18262085;18262358;18262358;18265099;18265099;18265570;18265570;18273029;18273029;18292094;18292110	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6003	797	803	824	771
ENSDARG00000015278	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18293670;18294120;18294146;18298034;18298034;18298206;18298206;18298422;18298422;18298703;18298703;18300338;18300338;18300836;18300836;18302922;18302922;18306826;18306826;18307035;18307035;18312245;18312245;18312491;18312491;18315319;18315319;18315696;18315696;18315853;18315853;18320383;18320383;18320569;18320569;18320789;18320789;18321077;18321077;18322275;18322275;18324085;18324085;18324355;18324355;18324748;18324748;18325305;18325305;18325483;18325703;18325948;18326279;18326279;18326517;18326517;18326817;18326817;18327653	18294048;18294250;18294250;18298108;18298108;18298346;18298346;18298572;18298572;18298866;18298866;18300433;18300433;18300870;18300870;18302997;18302997;18306926;18306926;18307203;18307203;18312391;18312391;18312689;18312689;18315443;18315443;18315737;18315737;18315956;18315956;18320484;18320484;18320677;18320677;18320941;18320941;18321247;18321247;18322383;18322383;18324264;18324264;18324488;18324488;18324780;18324780;18325398;18325398;18325585;18325862;18326056;18326379;18326379;18326651;18326651;18326936;18326936;18328628	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4924	160	252	196	158
ENSDARG00000028192	4;4	18394277;18427284	18394572;18427590	-;-	603	54	45	38	35
ENSDARG00000097434	4;4	18430566;18444201	18430580;18445101	+;+	916	1	7	8	4
ENSDARG00000045557	4;4;4;4;4	18443206;18443678;18445822;18445822;18447526	18444343;18444343;18446076;18446071;18447923	-;-;-;-;-	1791	92	158	224	184
ENSDARG00000033757	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18453012;18453965;18454185;18454657;18454833;18454982;18455597;18456798;18457157;18457374;18457855;18458028;18458207;18458337;18459573;18459797;18460024;18460211;18462696	18453104;18454094;18454286;18454718;18454908;18455047;18455676;18456961;18457281;18457448;18457924;18458129;18458251;18458407;18459669;18459936;18460125;18460360;18463259	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2314	14	16	24	8
ENSDARG00000045555	4;4	18464726;18466410	18465615;18466504	-;-	985	71	83	78	111
ENSDARG00000073965	4;4;4;4	18500231;18500445;18501434;18502192	18500358;18500591;18501554;18502357	+;+;+;+	562	4	6	4	4
ENSDARG00000045552	4;4;4;4;4;4	18505881;18506010;18508161;18508442;18508687;18510549	18505934;18506105;18508267;18508586;18508773;18510785	+;+;+;+;+;+	726	6	5	2	5
ENSDARG00000005547	4;4;4;4;4;4;4;4;4;4;4;4;4	18511036;18512300;18513416;18514355;18515349;18516543;18516757;18518136;18519244;18519899;18520115;18521478;18523314	18511478;18512418;18513596;18514572;18515548;18516680;18516982;18518246;18519400;18520039;18520288;18521719;18523574	-;-;-;-;-;-;-;-;-;-;-;-;-	2611	153	191	109	171
ENSDARG00000097195	4;4	18525481;18528748	18526356;18529624	+;+	1753	1	0	0	1
ENSDARG00000029018	4;4;4;4;4	18603767;18604854;18605681;18605681;18605876	18605254;18605254;18606164;18605798;18606549	-;-;-;-;-	2357	497	563	407	622
ENSDARG00000095705	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18608186;18608684;18608689;18608868;18610104;18610693;18610693;18610693;18614034;18614530;18616959;18617297;18617297;18617297;18617297;18617297;18617498;18617498;18617502;18617502;18617502;18617502	18608592;18609009;18609009;18609009;18610804;18610804;18610804;18610804;18614624;18614624;18617426;18617426;18617426;18617426;18617426;18617426;18617548;18617548;18617591;18617555;18617597;18617562	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2593	139	204	206	201
ENSDARG00000031777	4;4;4;4;4;4;4;4;4;4;4;4;4;4	18620563;18620684;18625054;18625054;18627777;18627777;18634641;18634641;18642608;18642608;18643269;18643269;18645848;18663641	18621127;18621127;18625522;18625522;18627976;18627976;18634779;18634779;18642765;18642765;18643508;18643508;18646029;18663699	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2012	240	358	297	288
ENSDARG00000081807	4	18664172	18664265	-	94	33	110	115	83
ENSDARG00000082287	4	18665179	18665285	-	107	96	99	112	101
ENSDARG00000022858	4;4;4;4;4;4;4	18712966;18718198;18718235;18720533;18720533;18724524;18724524	18713235;18718461;18718461;18720804;18720804;18725201;18725003	+;+;+;+;+;+;+	1484	28	38	29	44
ENSDARG00000008439	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18731702;18737072;18737085;18740769;18740769;18744550;18744550;18745595;18745595;18747220;18747220;18748953;18748953;18749269;18749269;18749455;18749455;18752378;18752378;18752841;18752841	18732083;18737148;18737148;18740947;18740947;18744658;18744658;18745751;18745751;18747300;18747300;18749120;18749120;18749365;18749365;18749540;18749540;18752575;18752575;18752966;18753916	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2610	84	84	68	88
ENSDARG00000034717	4;4;4;4;4;4;4;4;4;4;4;4;4	18770313;18770488;18770662;18772197;18772468;18776114;18777602;18778791;18778990;18779359;18781604;18783872;18786477	18770351;18770575;18770745;18772365;18772634;18776221;18777819;18778899;18779136;18779586;18781786;18784012;18786572	-;-;-;-;-;-;-;-;-;-;-;-;-	1777	42	51	37	52
ENSDARG00000069431	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18793056;18793563;18793563;18793646;18793849;18793862;18793864;18794509;18794509;18794509;18794509;18794731;18794731;18794731;18794731;18795658;18795658;18795658;18795658;18795939;18795939;18795939;18795939;18796719;18796719;18796719;18796719;18796985;18796985;18796985;18796985;18797337;18797337;18797337;18797337;18799729;18799729;18799729;18799729;18801413;18801413;18801413;18801413;18801606;18801606;18801606;18801606;18801899;18801899;18801899;18801899;18802853;18802853;18802853;18802853;18803037;18803037;18803037;18803037;18803269;18803269;18803269;18803269;18803944;18803944;18803944;18803944;18805944;18805944;18805944;18805944;18806100;18806100;18806100;18806100;18807729;18807729;18807729;18807904;18807904;18807904	18794000;18793590;18793599;18793650;18794000;18794000;18794000;18794648;18794648;18794648;18794648;18794841;18794841;18794841;18794841;18795860;18795860;18795860;18795860;18796103;18796103;18796103;18796103;18796871;18796871;18796871;18796871;18797067;18797067;18797067;18797067;18797484;18797484;18797484;18797484;18799842;18799842;18799842;18799842;18801490;18801490;18801490;18801490;18801701;18801701;18801701;18801701;18802005;18802005;18802005;18802005;18802922;18802922;18802922;18802922;18803129;18803129;18803129;18803129;18803364;18803364;18803364;18803364;18804180;18804180;18804180;18804180;18805998;18805998;18805998;18805998;18806245;18806257;18806257;18806245;18807812;18807812;18807812;18807927;18807927;18808469	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3702	0	0	2	1
ENSDARG00000003615	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18815341;18817230;18817275;18819114;18819114;18821534;18821534;18822982;18822982;18823806;18823806;18825243;18825250;18825632;18825632;18827028;18827028;18827255;18827255;18828406;18828592;18828592;18829525;18829525;18830242;18830242;18830494;18830494;18830660;18830660;18830919;18830919;18832230;18832230;18832552;18832552;18832779;18833723	18815406;18817405;18817405;18819253;18819253;18821644;18821644;18823142;18823142;18823974;18823970;18825395;18825395;18825714;18825714;18827175;18827175;18827368;18827368;18828483;18828687;18828687;18829631;18829631;18830311;18830311;18830586;18830586;18830755;18830755;18831146;18831146;18832284;18832284;18832685;18832685;18832853;18834056	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2687	0	0	0	0
ENSDARG00000007371	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	18835983;18835983;18837441;18837477;18837699;18837699;18837932;18837932;18838951;18838951;18839205;18839205;18839432;18839432;18841200;18841200;18841428;18841428;18841634;18841634;18843224;18843224;18844234;18844234;18844450;18844450;18844600;18844606;18844785;18844785;18845558;18845911;18846287;18846518	18836110;18836110;18837616;18837616;18837809;18837809;18838092;18838092;18839115;18839115;18839357;18839357;18839514;18839514;18841347;18841347;18841541;18841541;18841711;18841711;18843319;18843319;18844340;18844340;18844519;18844519;18844698;18844698;18844880;18844849;18845776;18845965;18846420;18846568	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2244	0	0	0	0
